Date;SIE;ALVG;VOWG
08-Jul-2024;177.1600;262.2000;106.8000
05-Jul-2024;177.1200;260.9000;106.8500
04-Jul-2024;177.3400;261.6000;107.6000
03-Jul-2024;176.7600;260.0000;106.5000
02-Jul-2024;174.8400;258.7000;105.7500
01-Jul-2024;177.1200;262.5000;106.0500
28-Jun-2024;173.7200;259.5000;105.4000
27-Jun-2024;173.5400;259.4000;103.9500
26-Jun-2024;169.2200;259.1000;104.8000
25-Jun-2024;169.5800;260.2000;106.5500
24-Jun-2024;171.0400;261.5000;106.2000
21-Jun-2024;168.2000;259.6000;104.7000
20-Jun-2024;170.3400;260.0000;105.8500
19-Jun-2024;168.2400;258.1000;105.0000
18-Jun-2024;168.4400;257.0000;105.4000
17-Jun-2024;168.1000;255.6000;105.1500
14-Jun-2024;165.7400;253.4000;104.5000
13-Jun-2024;170.8400;256.3000;105.7500
12-Jun-2024;178.1000;259.7000;109.5500
11-Jun-2024;172.4600;256.1000;111.2000
10-Jun-2024;174.4400;259.4000;112.3500
07-Jun-2024;174.4400;261.5000;112.6000
06-Jun-2024;175.6800;263.9000;113.4500
05-Jun-2024;178.8200;262.8000;114.1000
04-Jun-2024;174.2800;262.0000;114.1000
03-Jun-2024;178.1600;270.8000;114.9500
31-Mai-2024;176.2600;268.3000;115.0000
30-Mai-2024;176.1200;265.7000;114.5000
29-Mai-2024;175.7400;263.9000;120.8000
28-Mai-2024;177.2600;265.9000;123.3000
27-Mai-2024;178.9200;266.2000;120.4000
24-Mai-2024;177.3000;264.9000;118.4500
23-Mai-2024;177.1800;264.0000;118.0000
22-Mai-2024;173.7000;266.6000;118.4000
21-Mai-2024;173.6400;267.2000;119.1500
20-Mai-2024;173.1200;267.8000;119.2000
17-Mai-2024;172.5600;267.4000;120.4000
16-Mai-2024;175.0000;266.3000;120.3500
15-Mai-2024;187.7000;263.3000;121.2000
14-Mai-2024;185.2400;265.4000;121.8500
13-Mai-2024;187.9800;266.1000;118.7500
10-Mai-2024;188.4000;265.5000;116.9500
09-Mai-2024;184.0800;263.3000;117.4000
08-Mai-2024;181.5800;273.6000;117.2000
07-Mai-2024;180.1400;272.5000;118.0500
06-Mai-2024;179.3600;269.2000;116.9500
03-Mai-2024;177.6200;264.2000;115.5000
02-Mai-2024;175.2000;267.4000;114.3500
30-Apr-2024;175.9000;266.6000;115.1500
29-Apr-2024;177.6400;266.3000;120.7500
26-Apr-2024;177.6200;265.5000;120.1000
25-Apr-2024;173.7000;262.7000;118.8000
24-Apr-2024;174.6400;266.7000;120.1000
23-Apr-2024;175.3400;270.5000;121.3500
22-Apr-2024;174.0200;266.7000;121.3000
19-Apr-2024;172.9600;263.2000;121.2000
18-Apr-2024;175.5200;262.0000;121.9500
17-Apr-2024;172.6800;261.4000;121.0500
16-Apr-2024;173.0800;259.0000;120.6500
15-Apr-2024;175.9000;264.0000;123.3000
12-Apr-2024;172.6600;262.0000;123.7000
11-Apr-2024;173.5800;261.0000;123.0000
10-Apr-2024;174.3800;263.4000;124.0000
09-Apr-2024;173.1400;264.0000;124.7500
08-Apr-2024;174.2600;268.5000;126.1000
05-Apr-2024;172.3600;268.8000;126.4000
04-Apr-2024;176.1400;272.4000;128.5000
03-Apr-2024;176.5400;274.4000;125.4500
02-Apr-2024;175.6000;273.9000;122.7000
28-Mrz-2024;176.9600;277.8000;122.8400
27-Mrz-2024;176.9200;277.4500;121.7600
26-Mrz-2024;175.3000;277.0000;121.2600
25-Mrz-2024;174.0600;275.2000;119.3800
22-Mrz-2024;175.4000;271.8500;118.0800
21-Mrz-2024;174.8400;272.9000;117.7800
20-Mrz-2024;175.7600;271.0000;117.5400
19-Mrz-2024;173.0400;271.0500;117.2800
18-Mrz-2024;183.6200;266.2000;115.4200
15-Mrz-2024;184.9600;266.6500;113.7800
14-Mrz-2024;184.0000;264.6000;112.9400
13-Mrz-2024;183.9000;265.4500;113.7600
12-Mrz-2024;182.7400;263.8500;120.8800
11-Mrz-2024;180.6200;260.2500;117.2200
08-Mrz-2024;181.9200;258.8000;116.5000
07-Mrz-2024;181.5400;256.3000;116.5400
06-Mrz-2024;180.0000;254.6000;116.7800
